[00:01] 我们说一下这个漫居系统的一个完整的一个情况
[27:01] 镜头三镜头四每一个有几秒
[27:03] 到这里配音
[27:04] 它就会根据这个镜头里面的配音
[27:07] 来把这个撑起来
[27:08] 然后形成一个连续东西
[27:10] 因为最后我们是要把每一段合并
[27:12] 在一起变成一个完整的片子的
[27:14] 所以这里很清楚
[27:16] 每一个它独立出来
[27:17] 如果这个指示有场景过场
[27:19] 然后怎么样
[27:20] 没有配音的情况下
[27:21] 它就会变成一个旁白
[27:23] 就是这个旁白可能也会占一定的时间
[27:26] 它就会变成旁白
[27:28] 然后这里它本身的目的是说
[27:32] 我根据
[27:33] 就是这个
[27:34] 前面都是文字
[27:35] 文字你是推测它需要多长时间
[27:38] 暂时的
[27:39] 但实际上可能不准
[27:40] 那么它这个估出来的市场可能就是不行的
[27:44] 所以我在这里的话
[27:45] 我就可以让它生成一个配音
[27:47] 这里点生成它就会生成一个配音
[27:49] 那么这里就可以生成一个
[27:51] 可以播放的一个配音
[27:54] 那这个配音它就会
[27:55] 根据这个配音最后是市场是多少
[27:58] 来框定这个剧本的长度
[28:01] 满不满做我们的要求
[28:03] 那这个音频是七秒
[28:04] 然后设计是八秒
[28:06] 这个是合理的
[28:07] 那么可能我留一点空或者怎么样
[28:09] 这里它设计不合理的地方是
[28:12] 它现在即使是配音生成以后
[28:15] 它超过了这个时间
[28:17] 它依然不会把这个时间进行一个增加
[28:20] 这个任务失败了
[28:22] 这个可能也是有bug
[28:23] 它依然不会把这个时间
[28:25] 就是剧本的时间拓成
[28:27] 而且它下面这个时间和上面这个对不起的
[28:30] 理论上来说我们要做这个功能
[28:32] 同样可以我们把角色作为资产
[28:35] 然后把这个配音可以就是
[28:37] 批量的生成或者我单个的生成
[28:39] 可以按照它这个结构来
[28:40] 但是就是它下面这个东西
[28:43] 必须是要重做的
[28:45] 就是这个时间轴
[28:46] 要根据我上面调整的速度
[28:49] 我上面调整的这些内容
[28:51] 和我上面也可以自己设一个时间
[28:53] 比如说这个时间
[28:54] 它不只是它说话
[28:55] 它还有一个动作或者怎么样
[28:57] 我就应该把这个时间在上面
[28:59] 就是根据镜头来看清楚
[29:02] 所以镜头也得在这显示一个
[29:03] 我就知道这个镜头它是怎么样
[29:06] 有什么庞白
[29:06] 我才去调下面它的就是那个庞白
[29:10] 还有就是对话
[29:11] 包括就是场景生成的这个时间
[29:14] 然后我综合这个因素以后来决定
[29:17] 确定这一个片段它需要多长时间
[29:20] 然后呢最后故意组织上
[29:22] 这个是很需要的
[29:23] 那么每一个所有的片段加起来
[29:25] 最后这个剧它这个有多少时长
[29:28] 但是它是要去根据下面的这个
[29:30] 生成的东西来反推时长的
[29:33] 第一需要有一个剧本的东西
[29:35] 然后剧本下面它把它拆成对应的
[29:38] 就是场景和庞白
[29:40] 这个都说清楚了
[29:41] 然后我可以在这调它的语速
[29:43] 然后可以听
[29:44] 比如说这里它的语
[29:45] 它音频占0.7
[29:47] 我觉得不够长或者语速太慢了
[29:49] 我可以把它语速变低
[29:51] 然后再重新生成一次
[29:54] 然后它对应的语速就会降低
[29:57] 然后语速降低以后
[29:58] 它这里时长就会变长
[30:00] 那么这种情况下
[30:01] 它这个的战场
[30:02] 它这里设计时长自然就要给
[30:04] 然后下面对齐的这个每一段对齐的
[30:07] 它要自己去对齐
[30:08] 然后我才能通过这个地方
[30:10] 先看一下画面
[30:12] 先看一下就是大概的剧本
[30:14] 每一段
[30:14] 然后再听一下对白
[30:16] 然后再加上一些就是背景
[30:18] 或者效果
[30:19] 我可以大概知道
[30:20] 我先听一下这个漫句
[30:22] 它声音出来合不合适
[30:27] 这个配完以后
[30:29] 然后同步到分镜
[30:30] 它应该是要把这个时间
[30:32] 这些旁白这些东西
[30:33] 都同步到分镜来的
[30:35] 那么在分镜里面
[30:36] 这里这个功能我觉得是完善的
[30:39] 比较标准的
[30:40] 它生成了那么多镜头
[30:41] 然后每一个镜头
[30:43] 我现在开始就是具体的把前面绑定
[30:46] 就素材这里有绑定的
[30:48] 对应的人和场景
[30:49] 还有道具都绑定以后
[30:51] 根据这个画面提示词
[30:53] 来生成对应的剧本
[30:55] 那么这里它可以切换不同的模型
[30:58] 我觉得这个也是要改的
[30:59] 模型我认为应该是在后台配一次
[31:02] 在这里就会
[31:03] 比如说我在后台配了个对应的图片模型
[31:06] 我又推了个豆包
[31:07] 它这里就多一个豆包
[31:08] 我把那个关掉
[31:09] 这里就自然关掉了
[31:11] 我应该是在后台东台配
[31:13] 而不是写死一堆经常调用失败的
[31:15] 这种情况
[31:16] 比如我在后台配了某一个模型
[31:19] 那么在前台这里它就出现
[31:21] 而且我正常能调用
[31:23] 对应的不同的图片模型
[31:25] 它的参数
[31:26] 它的比例这些不同
[31:28] 这边应该是动态的变的
[31:30] 其实现在这个道理也是它
[31:32] 它是动态的变的
[31:33] 但是我们后台和前台
[31:36] 应该是要绑定的
[31:38] 我后台设计的对应的图片模型
[31:41] 新增一个
[31:42] 这里就新增一个卡片
[31:43] 我就可以调用它来生成
[31:44] 然后这里生成的资产这一些
[31:48] 它这里的功能
[31:48] 我觉得是很OK的
[31:50] 可以保留
[31:50] 那么我可以具体的看这个图
[31:52] 生成是怎么样的
[31:54] 然后我可以看
[31:56] 我可以在这个图上做一些改变
[31:58] 比如说我觉得这个角度不合适
[32:00] 我需要转到女生的真面
[32:02] 我就可以做一个提示词
[32:06] 然后让它旋转
[32:10] 生成多角度人物
[32:12] 然后这个是可以调整它对应的位置
[32:15] 就是镜头的位置
[32:16] 还有就是调整它
[32:17] 射镜头的位置改变画面
[32:19] 然后这个也是可以调整
[32:21] 就是角度这些功能
[32:24] 还有这个是剪切脱离主体
[32:26] 然后做一个背景分离
[32:27] 我希望就是说
[32:29] 生成的对应的东西
[32:30] 再反过去
[32:31] 再新生成图片也是可以的
[32:33] 然后这里加在工具做迁移
[32:36] 这些我觉得都是可以直接使用它的功能的
[32:39] 比如说人物不进
[32:41] 我可以把人物融合到地图
[32:42] 然后做迁移
[32:44] 做拼合
[32:45] 做模仿人物模仿另一个图像的姿势
[32:48] 我觉得这个版主站太差了
[32:50] 我再丢一个投进
[32:51] 让它按照那个站字来改
[32:53] 这些功能都是很OK的可以使用的
[32:57] 它这有一个分禁工具也是一样的
[32:59] 这个应该也是很好的
[33:01] 就是生成多就功格的图
[33:04] 然后融合
[33:05] 然后自动分禁多功格
[33:07] 这些生成以后
[33:08] 都对后面生成视频有很大的帮助
[33:12] 然后再说一下这里
[33:13] 就是它现在这个参考图片
[33:15] 它这边很多参考图片的话
[33:17] 原来的功能它失效了
[33:20] 就是本来我这里设计和素材绑定的图片
[33:23] 应该都出现在这儿
[33:24] 以这个为标准来设计图片
[33:26] 那后来它这个地方绑定的东西
[33:29] 它实际上没有用这个图
[33:31] 所以生成的图和这边就没关系
[33:33] 那我这里我觉得
[33:35] 应该支持一个
[33:36] 就是首先它绑定
[33:38] 这个现在已经修复了
[33:39] 那么绑定过来以后
[33:40] 它也支持外部上传
[33:42] 就是从本地再上传一些东西上去
[33:45] 外部上传的东西要同步到这儿
[33:47] 同时我觉得也应该
[33:49] 同步回素材和设计这边来
[33:51] 让它整体统一化
[33:52] 那么这样的话
[33:53] 我在使用的过程中
[33:54] 全平台这个数量
[33:56] 这些参考图片和生成图片的
[33:59] 这些资产都是统一的
[34:01] 而且只存在一个地方
[34:02] 它这只是调用
[34:03] 用这种逻辑才行
[34:05] 可以多次生成
[34:06] 然后从项目或者绑定
[34:09] 恢复绑定生成
[34:10] 现在它这个好像是修改
[34:12] 还有点问题是写死的
[34:14] 即使它生成以后
[34:16] 它还是按照默认绑定的
[34:18] 它没有按新的来生成
[34:19] 比如说这里我觉得沙发不合适
[34:23] 我重新找一个沙发过来
[34:24] 我就把这个沙发换上来
[34:25] 它生成的还是原来的沙发
[34:27] 所以这里也是错的
[34:28] 好 这里这个音画的
[34:31] 就是联动轴
[34:33] 这个也应该保留
[34:34] 因为我一旦画生成了
[34:36] 我就可以根据画
[34:37] 和刚才配音生成的这一块
[34:40] 放进来
[34:41] 对齐以后我可以看到固定的话
[34:44] 比如说这个有好多张
[34:45] 它也可以变成一个好多张
[34:47] 然后在这里可以看到
[34:49] 在这个合等风光
[34:54] 如今还不是被我踩在脚下
[34:58] 可以看到在这个情况下
[35:00] 它这个画面它具体说什么话
[35:02] 最关键的一针是怎么样的
[35:04] 我就可以在这里基本上
[35:05] 把漫选的一个大概的形态
[35:07] 和情况给它搞清楚了
[35:09] 这个是比较OK的
[35:11] 接下来我们再总结一下
[35:14] 设计阶段我们把人物
[35:17] 仿景和道具都设计了
[35:18] 素材阶段
[35:20] 我们把人物 场景和道具绑定了
[35:23] 然后配音阶段我们确定了
[35:25] 这个漫选的具体每一个镜头的时长
[35:29] 然后到分镜阶段
[35:30] 我们把这些绑定的关系和时长
[35:32] 全部合成了一个
[35:34] 静态的可实化的这样一个东西
[35:37] 这几个阶段分别的作用都很清楚
[35:39] 到这里为止
[35:40] 我前面生成这些东西
[35:42] 我就可以一见导出到一个视频里面
[35:45] 导出到视频的作用是什么
[35:46] 就是因为我们平时生成漫选
[35:49] 都是用Cdans
[35:50] 或者是用对应的那些
[35:53] 他们自己平台提供的
[35:55] 比如说吉猛或者海螺
[35:57] 它提供的那个界面
[35:58] 我在里面输要求
[35:59] 然后全能模式什么什么这些
[36:01] 往里面体验
[36:02] 然后再生成
[36:03] 现在前面已经摆的
[36:05] 就是具体的很标准的绑定
[36:07] 每一个镜头的绑定
[36:09] 都给你确定好了
[36:10] 这样生成的镜头是很稳定的
[36:12] 我就不需要每一个镜头
[36:13] 我在去吉猛那边
[36:15] 自己再重新上升素材
[36:16] 再说一下要绑定谁怎么稳定
[36:19] 经那个场景是谁
[36:20] 然后怎么怎么样
[36:22] 这些在这设置好以后
[36:23] 直接一见导出
[36:24] 就可以导出到视频里面
[36:26] 那么导出到视频里面
[36:27] 它就分左右
[36:28] 这个模式
[36:29] 我觉得也是可以继承的
[36:31] 那么这个模式就是
[36:32] 这里可以有多张图参考
[36:34] 那么我具体根据这里要改
[36:37] 这里和前面一样的
[36:38] 就是什么非生意计划的计
[36:40] 金单
[36:41] 这些完全看不懂
[36:42] 这里也是变成一个按钮模式
[36:44] 它具体调用了一个模型点了
[36:47] 它在下面就会根据那个模型
[36:49] 比如说我调的就是Cdance
[36:51] 那么它就会按照吉猛的方式
[36:54] 把Cdance里面调用的模型具体
[36:57] 它需要传什么图
[36:58] 全能模式需要传什么图
[37:00] 都给你控制好了
[37:01] 我控制好以后
[37:03] 我把这个镜头
[37:05] 就是这个是输入框输入进去
[37:07] 然后生成对应的视频就可以了
[37:10] 然后这边的话
[37:12] 目前它支持两种这个模式
[37:14] 这个我觉得是挺好的
[37:16] 可以切换
[37:16] 可以快速的看所有镜头
[37:18] 也可以根据我们现在生成的这个
[37:21] 就是对应着前面绑定好的素材
[37:24] 然后画面人物
[37:26] 和所有绑定好的这个东西
[37:28] 全部根据这个来生成对应的视频
[37:33] 那这个就是生成好的东西
[37:35] 我们可以在这边看
[37:36] 但是我觉得还是可以参考
[37:38] 吉猛的模式
[37:39] 变成一个对画窗的这种模式
[37:41] 我生成一次
[37:42] 我可以把它放到一个对应的资产里面
[37:45] 我最后选定我要哪个
[37:47] 这其实它是可以生成很多个的
[37:50] 每一次生成
[37:51] 它可能就是出来的效果不一样
[37:53] 这个就是抽卡
[37:54] 我抽卡以后它美化使用中
[37:56] 如果只有一个的话
[37:57] 它就是使用这个
[37:58] 如果有多个的话
[37:59] 你可以选我具体后面
[38:01] 使用哪一个片段
[38:02] 去拼整体的漫据
[38:04] 这里已经把所有的素材都出来了
[38:08] 然后接下来我把它放到里面的话
[38:11] 它这里支持就是说视频的批量泛大
[38:14] 因为它几乎出来的视频是720P的
[38:16] 我们这里需要把它变成一个
[38:18] 更高级1080P
[38:20] 再也可以生成1080P
[38:21] 但调那个模型结构很贵
[38:23] 所以我们就是生成P20P的
[38:25] 用一个批量放大的功能
[38:26] 把这个视频的尺寸都给它放到
[38:30] 更大的尺寸
[38:32] 然后我们也可以就是导入到美化
[38:35] 在这里它也支持就是配音
[38:38] 就是我如果觉得这个
[38:39] 它原本生成视频的配音不好
[38:41] 我可以在这重新配
[38:43] 或者上传音频文件来配
[38:45] 也支持编辑
[38:46] 就是具体编辑的作用
[38:48] 这个我觉得功能要保留
[38:50] 它编辑有一个核心的作用
[38:52] 比如说有一个场景是打斗的
[38:54] 它有30秒
[38:55] 那我其实节目里面最多只能生成
[38:58] 15秒的视频
[38:59] 甚至海螺跟跟少
[39:00] 那么就是10秒的视频
[39:02] 但是这个场景它是连续的
[39:03] 第一个场景完了以后
[39:05] 第二个场景它要接着来
[39:07] 那么这个怎么办呢
[39:08] 我如果只通过生图的方式是实现不了的
[39:11] 那么我其实就要通过一个
[39:13] 很完整的方式
[39:14] 在这里我已经生成视频了
[39:16] 那么视频的前和尾
[39:18] 这个帧数都是确定的
[39:20] 所以我就在这里做编辑的时候
[39:21] 我把它的尾针给它抽出来
[39:23] 就第五针
[39:24] 最后一针我点了抽取为当前的图片
[39:27] 这个之前它应该是实现的
[39:29] 这个可能是我们改的出了问题
[39:31] 然后把这个图片的针抽出来以后
[39:35] 它会作为下一针的一个资产
[39:37] 那么我在这个素材和分禁这个地方
[39:40] 我就可以把它的下一针
[39:42] 作为其中一个资产
[39:43] 我在视频生成的时候
[39:45] 下一针的这里
[39:47] 它就会多一个手针的资产
[39:49] 那么这样生成的视频
[39:51] 第一部分和第二部分
[39:53] 它就完全可以连起
[39:54] 比如说前面的15秒的尾针
[39:56] 刚好就是下面15秒开头的这一针
[39:59] 那么你把它拼起来的时候
[40:00] 它就是一个连续的
[40:02] 然后如果它更长
[40:03] 比如说打斗了60秒
[40:05] 那么三个15秒
[40:06] 四个15秒的拼起来
[40:08] 上面再做一个生成的工作
[40:10] 生成以后
[40:11] 我再把最终的尾针给它
[40:14] 通过编辑抽出来
[40:15] 生成它的手针
[40:17] 然后再在这生成
[40:18] 这样就可以做一个
[40:19] 非常连续的这种漫曲的一个东西
[40:22] 这个是很方便的
[40:24] 而且在这里它有一个初步的编辑
[40:26] 就是如果在这里面
[40:27] 比如说有画面闪动啊或者怎么样
[40:29] 我是可以把这一针给它裁掉的
[40:31] 或者我从这里之后给它裁掉
[40:34] 那么就不会影响后面的
[40:36] 比如说我现在就觉得
[40:37] 这个虽然它生成了10秒
[40:39] 但是后面几秒不需要了
[40:41] 我就在这裁掉
[40:42] 裁完以后
[40:43] 它就会生成一个对应的
[40:45] 就是裁掉的版本
[40:46] 我就可以在那个裁掉的版本里面
[40:48] 继续进行相应的工作
[40:50] 这也是非常好的
[40:51] 那么整体来说
[40:53] 就是这个视频的功能
[40:55] 可以基本上参照
[40:56] 但是它的交互模式太差了
[40:58] 我们肯定要换交互模式
[41:00] 重新考虑一下这个怎么交互
[41:02] 才能去做这个东西
[41:05] 然后到这里为止
[41:06] 我们的视频已经生成
[41:08] 就是前面是通过剧本
[41:12] 用文字变成了这个
[41:14] 包括视频反腿
[41:15] 它都是生成文字
[41:17] 到了设计阶段
[41:17] 它是生成对应的独立图片
[41:20] 到了素材阶段
[41:21] 它是把图片做一个绑定
[41:23] 到了配音
[41:24] 它把图片 声音这些都做了
[41:26] 到分禁这里
[41:27] 它把图片 声音 配音做了广定
[41:30] 并且生成了一个真正漫剧里面的关键图
[41:33] 到了视频
[41:34] 才根据这个关键的图
[41:36] 来生成具体的我们最终的视频
[41:38] 每一段视频生成以后
[41:40] 我选择我抽卡最好的视频
[41:42] 我就可以在美化里面进行一个拼接
[41:45] 把对应的每一个视频
[41:48] 就是连起来
[41:49] 拼接起来
[41:49] 就变成一个初步的漫剧了
[41:52] 然后这个拼接这个功能
[41:53] 其实就是一个基础的简计的
[41:55] 软件的功能了
[41:56] 在这个简计的功能里面
[41:58] 我实际上应该是要能简计视频
[42:01] 和音频的声音
[42:02] 并且进行一些简计对起等等
[42:05] 然后可以上传可以处理
[42:06] 这里它完全不是一个标准的简计工具
[42:10] 可用性太差了
[42:11] 我觉得这里应该嵌入一个标准的简计工具
[42:14] 但是它这些东西
[42:16] 就是它右侧的这些我觉得是很好的
[42:18] 第一个是它前面可以放大
[42:20] 在这里我还可以做放大
[42:22] 那么我觉得这个不够清晰
[42:23] 我就单独把这一个
[42:25] 剧情给它用GPU去给它放大
[42:28] 然后可以补帧
[42:29] 我可以把它这个帧数只有30
[42:30] 我可以补到60
[42:32] 我可以做对口型
[42:33] 那么对口型是特别需要的
[42:35] 原理上就是我可能重新配了一个音
[42:38] 或者说它这个音画不同意
[42:40] 那么或者我改了它的时长等等
[42:43] 造成它这个剧情生成的声音
[42:46] 和它的这个口型不对
[42:48] 那么它这里的原理就是
[42:49] 把这个音频和视频都传过去
[42:51] 然后反过来根据音频
[42:53] 去重新生成对应的视频
[42:56] 然后保证它对上口型
[42:58] 然后这里旁白配
[42:59] 那么我如果是本身这个剧
[43:02] 我不希望用它这个
[43:04] 对应的这个剧里面生成的这个音频
[43:07] 这可能会就是需要找配音
[43:11] 去配配了以后
[43:12] 我可以在这里加音管
[43:14] 所以整体来说这个
[43:15] 我觉得这一部分还是完整的
[43:17] 应该做成一个类似于
[43:19] 简议那样的一个就是剪辑工具
[43:22] 可以在这里灵活的剪辑这个片
[43:24] 在线的剪辑工具也有
[43:26] 其实我觉得应该用开源的来做这个东西
[43:29] 在这里我就可以完整的用剪辑工具
[43:31] 把这个片的标准东西剪出来
[43:33] 而且像简陌
[43:35] 就是那个简硬这种剪辑工具的
[43:38] 它还很好
[43:39] 它可以导出的时候
[43:40] 它可以设很多参数
[43:42] 然后它可以预览
[43:43] 它可以怎么怎么样
[43:44] 就是这些工具加上以后
[43:45] 我觉得这个功能就非常棒
[43:48] 同时也有一点
[43:50] 因为我们在传统制作里面
[43:51] 我们生成的片段
[43:52] 我们也是通过一个剪辑软件
[43:54] 最后来调整它的声音
[43:57] 调整它的特效
[43:58] 少整它的那些东西
[43:59] 最后生成一个成片的
[44:00] 如果没有这样一个工具
[44:02] 你做生成的成片
[44:03] 它是很有限的
[44:04] 或者说我必须得导出去
[44:06] 再进简计工具里面来做
[44:07] 这个也没有达到这个平台的要求
[44:10] 所以我们平台这边
[44:11] 是应该做这个事的
[44:12] 然后这个里面它缺了一个东西
[44:15] 就是我们在这个视频的时候
[44:17] 我们生成的是一段一段的视频
[44:20] 每一段视频它可能
[44:21] 比如说这里它有两个人
[44:22] 男一和女一
[44:24] 在这里第一段生成视频里面
[44:26] 如果有对白的话
[44:27] 它男一和女一说话是一种声音
[44:30] 然后如果你不把这个声音
[44:31] 给到第二帧参考的
[44:33] 它女一的声音可能
[44:35] 它这个说话和前面生成的说话
[44:37] 它就是两种说话
[44:38] 完全不一致
[44:39] 差别很大
[44:40] 那么就需要我们在这儿
[44:42] 像抽真工的一样
[44:43] 编辑抽真工的一样
[44:45] 我需要能把这个声音给它
[44:48] 关键的声音给它抽出来
[44:49] 变成一样本
[44:50] 放到第二个生成剧里面
[44:52] 然后它参考这个样本
[44:54] 就是我直接也作为一个像
[44:56] 图像一样的样本
[44:58] 就是男一女一的声音样本
[45:00] 丢到这儿来
[45:01] 它在做视频的时候
[45:02] 它就能保证所有的声音是统一的
[45:05] 然后再到美华这里进行剪的时候
[45:07] 这些东西都基本上是对齐了
[45:09] 在这里剪一剪
[45:11] 然后最后生成完成就可以了
[45:13] 然后最后在这里完成提交任务以后
[45:16] 我们就会进入到一个成品的阶段
[45:18] 目前这个成品是我本身是我们新家的
[45:22] 因为它原来这有一个素材
[45:23] 就是生成的东西很乱
[45:25] 全部在这里
[45:26] 但是我最需要的其实就是成品
[45:28] 我要在这儿看成品行不行
[45:30] 然后这个成品合成以后
[45:32] 也应该是要把成品合成的片段
[45:36] 要做一个展示
[45:37] 然后哪一些片段
[45:38] 如果我觉得不合适
[45:39] 我需要重新回到美华这里重新改
[45:42] 那么它每一次历史
[45:43] 应该也要能查查我生成的对应的美版
[45:46] 它是什么样的
[45:47] 它是用一些什么素材生成的
[45:49] 这个功能我觉得可以相似
[45:52] 就是寂梦的里面
[45:54] 它不是有一个就是
[45:56] 不是寂梦那个解印的里面
[45:58] 我们生成的成品它不是可以
[46:00] 就是具体在一个共享库里面能看到
[46:03] 这个也要共享可以给对应的人
[46:05] 能看也会分享
[46:06] 让大家能看到我们的成品是怎么样的
[46:09] 现在有没有需要修改的地方
[46:11] 然后大家可以在这个基础上提意见
[46:13] 我在平台上收到意见以后
[46:15] 我根据这个意见反馈
[46:16] 我在反过去去前面修改
[46:18] 调整再生成新的成品再分享
[46:21] 然后完成这个漫剧的完成
[46:23] 流程
[46:24] 好 最后只剩下这里素材库是需要的
[46:27] 但原来它这个素材库
[46:28] 我记得是有问题的
[46:29] 我改了
[46:30] 它会把所有整个平台里面的
[46:32] 所有集的素材全部丢在一起
[46:35] 但有时候我只关心本集的素材
[46:37] 然后我的项目共享这些
[46:40] 它也是把全部都放在一起
[46:42] 现在我把它分离以后
[46:43] 就分为本集素材用
[46:45] 时候我也可能希望在素材库查一下
[46:47] 全部素材
[46:48] 这里它可以展开
[46:50] 也可以分别查看对应的素材
[46:53] 然后素材这里要支持玉兰
[46:55] 就是这个可能它只列出一个文件来
[46:57] 我看不了玉兰
[46:59] 这个不太方便
[47:01] 要点了以后才能在这里看到玉兰
[47:03] 这里应该要生成一个
[47:04] 视频的速冕图 方便我看
[47:08] 然后音频 抽真素材
[47:10] 这些倒是都是比较OK的功能
[47:13] 这些都可以保留在这个基础上完善
[47:15] 这个就作为一个共享素材库
[47:17] 而且它可能要做成一个类似于支持库
[47:20] 或者就是一个公共品的一种的一个东西
[47:24] 其他基金或者其他人在做的时候
[47:26] 要用以前的素材
[47:28] 如果有全线的情况下
[47:29] 它应该是能调得到的
[47:31] 好 然后最后一个历史
[47:33] 就是过去我制作了什么的历史
[47:35] 这里要有一个筛选
[47:37] 因为这里历史太多了
[47:39] 而且它也是把所有历史都放在一起
[47:41] 我其实我只需要本集的历史
[47:43] 我不需要所有级的历史
[47:45] 这个之前没改
[47:46] 然后历史这里它会提示文字是什么
[47:50] 生成的是具体是什么样的
[47:53] 然后可以删除 可以下载
[47:55] 然后这个就是前台的所有功能
[47:58] 然后说完前台以后
[47:59] 我们来看一下后台
[48:00] 后台点击进入以后
[48:02] 我们可以看到原来它的后台
[48:04] 是三个千套在一起
[48:05] 我现在已经整合了
[48:06] 这个是一个总的
[48:07] 就是原来它是生成管理
[48:09] 系统设置和集成表盘
[48:11] 它分别是三个后台
[48:13] 现在我们把它整合成一个
[48:14] 当然也保留了原来切换的
[48:16] 我们的后台我们肯定要重新做
[48:18] 好 它这个后台
[48:19] 它包含一个招呼的管理
[48:21] 包含一个拥护权限
[48:23] 包含一个项目分组和组织管理
[48:25] 这个可以保留
[48:26] 而且可以参考我们自己的权限体系
[48:29] 它这里有一个积分体系
[48:30] 这个要保留的
[48:31] 就是它可以设置前面的
[48:33] 这个调用每一个要用
[48:35] 多少积分才能调用
[48:37] 现在只有视频反推是有这个积分
[48:40] 扣积分了 其他的还没弄入
[48:42] 不然这个积分是必要的
[48:44] 而且这个必须得做得很安全
[48:46] 否则它因为我们后台是对接了
[48:48] 很多API的
[48:49] 如果说帐号被盗或者怎么样
[48:52] 没有积分限制的话
[48:53] 有可能它就能无限的设置这东西
[48:55] 我们的钱就都被扣完了
[48:57] 然后这个是积分账户
[48:58] 和积分流水的显示
[49:01] 这个接下来是内容与审计
[49:03] 那么在这个素材库的里面管理
[49:06] 文件回收站
[49:07] 就是前面删除的东西在这里
[49:09] 可以看到建业
[49:10] 可以恢复 也可以释放
[49:11] 释放就是真正的
[49:12] 从服务器上删除了
[49:13] 可以下载和恢复
[49:15] 恢复的话就是回到原来的地方
[49:17] 我们这个只是保留了一个最终的软删除
[49:21] 我其实觉得前台也可以做一个
[49:24] 用户自己的回收站
[49:25] 如果用户发现某个东西
[49:27] 需要回收的话删错了
[49:28] 他也可以回收回去
[49:30] 只有在后台彻底删除以后
[49:33] 那个回收的东西才能
[49:35] 才完全的看不到
[49:36] 审计这个我不知道它是做什么的
[49:40] 但是我觉得是应该是可以保留的
[49:43] 它应该是记录每一个用户
[49:45] 它调用什么类型的模型
[49:47] 耗时多少时间
[49:48] 成功或者失败
[49:50] 然后还有一个审计的日记
[49:51] 就是最终调用了一些什么模型
[49:55] 然后它最后IP是谁调的
[49:57] 然后用的什么浏览器等等
[49:59] 好 数据监控
[50:01] 这个有一个任务监控
[50:02] 这个是可以保留的
[50:04] 反正我们这些状态表
[50:06] 这些我们都可以重新设计
[50:07] 但这些数据都是有用的
[50:09] 这是具体调了多少模型
[50:11] 文本甚至多少次
[50:12] 最后生成了多少内容的一个统计
[50:14] 这个也是后台统计
[50:16] 然后机群的话
[50:16] 这个就是设置了
[50:18] 我绑定了几个节点
[50:20] 然后每个节点它有多少
[50:22] 那个使用量
[50:24] 这个它没统计
[50:26] 但是实际上我觉得这个功能是标准的
[50:29] 然后重点说一下这个厂商
[50:31] 厂商这里的话我们分为四种
[50:34] 现在的话就是文本生成
[50:35] 我已经给它做了归类
[50:37] 这个其实我是新做了一个东西
[50:39] 这个是一个中间服
[50:41] 以前它的厂商绑进
[50:43] 它是在代码里面的写写写的
[50:45] 每一个地方它增加一场
[50:47] 它就写写一块
[50:48] 参数那些都是写写的
[50:50] 但实际上这个首先它应该是可配的
[50:52] 我在后台我可以任意增加这种对应的插片
[50:56] 就是文本图像视频和语音生成
[51:00] 它都应该是可以配置对应的这种生成的内容的
[51:03] 然后生成的
[51:05] 比如说现在我绑定了
[51:06] 比如说我又发现一星的Deep Seek
[51:08] 我可以再加一个景台
[51:09] 而且我应该可以支持加多个
[51:12] 就让我这个逻辑就可以了
[51:13] 现在加多个以后它会把
[51:15] 没有生效它会折叠起
[51:18] 就是所有的它只展示生效的
[51:21] 然后把同样的APN
[51:23] 就是同一个比如说都是Deep Seek
[51:25] 它会放在一起
[51:27] 比如说我有很多很多个key
[51:29] 有的是用的公用的
[51:32] 有的是其他的key
[51:33] 我都可以全部把它资产放进来
[51:35] 然后用哪个我去切那个
[51:37] 然后这里还有一个功能
[51:39] 到时候也应该完善一下
[51:40] 就是具体它可以去调这个测试连通
[51:44] 测试它运行的情况
[51:46] 然后真实生成
[51:47] 就是可以真实的去调一次这个APN接口
[51:50] 去生成对应的东西
[51:52] 它可能会发一个很小的字节过去
[51:54] 然后产生低的费用来测试
[51:56] 这个到底能不能真正运行
[51:58] 如果能运行
[51:58] 它状态就会变更
[52:00] 那么如果不能运行
[52:01] 你就要去调整一下这个东西
[52:03] 然后这里控制它APN文档
[52:05] 控制台可以直接跳转到对应的这个通知台
[52:08] 是哪里
[52:09] 然后APN文档
[52:10] 就是可以直接跳转到
[52:13] 这个具体APN怎么设置
[52:15] 这些都是需要的
[52:16] 然后它还有一个缩起来的
[52:18] 就是具体APN调用的一个路径
[52:21] 这些到时候可以完善一下
[52:23] 美化一下
[52:24] 然后在我们的后台做
[52:26] 然后但是这里要增加一个新的功能
[52:29] 就是我现在和前台
[52:31] 我只是做了一个用视频生成来说明
[52:34] 就是我新增卡片的时候
[52:36] 我是可以绑定
[52:39] 具体的后台操作
[52:42] 我添加绑定它后台操作有什么
[52:44] 我可以绑定什么
[52:46] 但是这个绑定它不是动态的
[52:47] 它是反过来前台有什么
[52:49] 你有这里才能绑定什么模型
[52:52] 我认为应该是在这做一个灵活的功能
[52:56] 就是你新建了一个模型
[52:58] 然后前台就会多出现一个
[53:00] 比如说我在这新建的是一致名生成
[53:03] 那么在视频相关功能
[53:04] 它就会多一个
[53:06] 比如说我生成的
[53:07] 我加了一个海螺
[53:08] 它就应该多一个海螺的这样一个按钮
